| i  | V                                        | fitness              | AH3                  | AF3                 | AF5                 | A3N3                | s                 | tau                | lambda1              | lambda2             |
| 40 | 0.0000277419404392424929714239950629     | 6.84268607059160e-11 | 3.8372866720662415   | -98.61270776174432  | -87.54154796387772  | -48.212262099693405 | 88.09326790980927 | 19.1103040376695   | -2.08709679824245e-7 | 2.08772444124335e-7 |
| 41 | 0.000113635339886959742011947327445      | 2.39925235289748e-10 | 13.456756717395606   | -58.67709465425885  | -4.33019269054391   | -16.028029184086876 | 97.9265128982012  | 9.579555071401902  | -4.81324619539173e-7 | 4.81328671439403e-7 |
| 42 | 0.0000486866187907913130486145525389     | 1.59781506677976e-10 | 9.909667189166996    | -70.90643699901466  | -55.147670229337685 | -87.53526345669884  | 95.4703245742655  | 13.689488342922818 | -3.76913750331447e-7 | 3.76904910742023e-7 |
| 43 | 0.00000951448395163634285905725901378    | 5.87421853164650e-12 | 1.1964366629035226   | -75.05373825509565  | 1.5701397434004747  | -15.724699565872584 | 99.56359278158607 | 23.63285361450078  | -4.22286125813155e-8 | 4.22365529851664e-8 |
| 44 | 0.000101530447423786048368257728391      | 1.51189693166080e-10 | 8.967340046900162    | -59.94081539864526  | 9.914112703715688   | 10.584602578978846  | 97.66975612253222 | 10.024192426014334 | -3.40164052252774e-7 | 3.40235769137843e-7 |
| 45 | 0.0000132988767105301895375332743576     | 1.62898065436872e-11 | 2.274910113366161    | -50.75720242068789  | 44.86780155120172   | -31.009141733319183 | 90.62375924948125 | 18.942067583024112 | -1.09330452072083e-7 | 1.09341501506611e-7 |
| 46 | 0.000000389518835219819944780525119987   | 7.22882750609348e-13 | -0.15449248584728537 | -90.12510932635993  | -16.467754197681913 | 14.28706432088049   | 99.43284336292774 | 81.79474814349204  | -4.34030477615725e-9 | 4.34170910898137e-9 |
| 47 | 0.0000440275780220624620938697779682     | 5.21601275400826e-11 | 3.1260637784375405   | -25.862425309790083 | -54.084291341551015 | -3.1699651555949515 | 84.67825847758486 | 10.553772778388693 | -2.08910488761668e-7 | 2.08948663081008e-7 |
| 48 | 0.00000100260668316512794882356708615    | 6.38649406077435e-12 | 0.4959854790115088   | -72.69017689071875  | -73.22024942949825  | -28.076418150369236 | 99.72955399183473 | 62.43985907423599  | -1.56127811602032e-8 | 1.56250137732952e-8 |
| 49 | 0.0000433465348279169675541067086044     | 2.44177365134458e-11 | 2.6641279787119885   | -71.39055608736433  | -88.9936249408394   | 6.445134382187618   | 96.14038093450768 | 14.265021134802414 | -1.19462278431004e-7 | 1.19484433379263e-7 |
